12.Variable; SEW_GVL_Internal.Drive6_AxisDriver.DeviceAdapter16PD.stBasicOUT.lrActualVelocity
12.Address.AddrFlags; 0x00000000
12.Class; 15
12.Size; 8
12.GraphColor; 4294902015
12.GraphType; 1
12.MinWarningColor; 4278190080
12.MaxWarningColor; 4294901760
12.CriticalLowerLimit; 0
12.CriticalUpperLimit; 0
12.ActivateMinWarning; 0
12.ActivateMaxWarning; 0
12.YAxis; 0
12.Data; 
; 18504866; -7.0000000000000007E-05
; 18509861; 0
; 18514857; 0
; 18519857; 4E-05
; 18524866; 1E-05
; 18529860; 6.0000000000000008E-05
; 18534857; 4E-05
; 18539867; 2E-05
; 18544878; -0.00016
; 18549861; 3.0000000000000004E-05
; 18554857; 0.0002
; 18559861; 4E-05
; 18564874; 1E-05
; 18569863; 0.00022
; 18574860; 2E-05
; 18579861; 0.00011
; 18584877; 2E-05
; 18589862; -7.0000000000000007E-05
; 18594858; -9E-05
; 18599855; -5E-05
; 18604872; 6.0000000000000008E-05
; 18609860; 2E-05
; 18614863; 6.0000000000000008E-05
; 18619864; 1E-05
; 18624863; -0.0001
; 18629859; -0.00015000000000000001
; 18634861; -6.0000000000000008E-05
; 18639862; -0.00023
; 18644865; -0.00013000000000000002
; 18649862; 0
; 18654861; 0.00011
; 18659861; -0.00015000000000000001
; 18664871; -9E-05
; 18669860; -1E-05
; 18674863; 5E-05
; 18679863; 0.00015000000000000001
; 18684866; -6.0000000000000008E-05
; 18689858; 3.0000000000000004E-05
; 18694855; 0.00021
; 18699857; -7.0000000000000007E-05
; 18704868; -8E-05
; 18709911; -0.0001
; 18714863; -3.0000000000000004E-05
; 18719862; -0.0001
; 18724866; -3.0000000000000004E-05
; 18729864; -0.00018
; 18734862; 0.00025
; 18739889; -2E-05
; 18744879; -0.0001
; 18749861; 5E-05
; 18754862; -8E-05
; 18759864; -0.00016
; 18764878; 0.0002
; 18769860; 0.0001
; 18774864; 5E-05
; 18779862; 2E-05
; 18784868; 0.00015000000000000001
; 18789859; -8E-05
; 18794864; 1E-05
; 18799860; 0.00013000000000000002
; 18804873; -6.0000000000000008E-05
; 18809859; -1E-05
; 18814862; -9E-05
; 18819860; 9E-05
; 18824863; -7.0000000000000007E-05
; 18829858; 2E-05
; 18834862; -9E-05
; 18839861; 4E-05
; 18844866; -0.00026000000000000003
; 18849859; -4E-05
; 18854860; 2E-05
; 18859863; -0.0001
; 18864867; -0.00016
; 18869858; 4E-05
; 18874862; 4E-05
; 18879863; 0
; 18884866; -4E-05
; 18889857; 1E-05
; 18894863; -2E-05
; 18899857; 5E-05
; 18904865; -0.00013000000000000002
; 18909873; -2E-05
; 18914863; -0.00011
; 18919862; 6.0000000000000008E-05
; 18924867; -8E-05
; 18929860; 9E-05
; 18934865; 0.00016
; 18939863; -0.0001
; 18944868; -5E-05
; 18949861; -7.0000000000000007E-05
; 18954858; -7.0000000000000007E-05
; 18959867; 3.0000000000000004E-05
; 18964880; 3.0000000000000004E-05
; 18969863; 5E-05
; 18974859; 6.0000000000000008E-05
; 18979859; -2E-05
; 18984867; 0.00011
; 18989863; 2E-05
; 18994858; -9E-05
; 18999861; 6.0000000000000008E-05
; 19004872; -0.00013000000000000002
; 19009862; 4E-05
; 19014863; 0.00019
; 19019863; -3.0000000000000004E-05
; 19024862; 0
; 19029859; 3.0000000000000004E-05
; 19034862; 1E-05
; 19039862; -7.0000000000000007E-05
; 19044863; -0.00017
; 19049860; -6.0000000000000008E-05
; 19054862; 6.0000000000000008E-05
; 19059863; -4E-05
; 19064867; 3.0000000000000004E-05
; 19069860; -8E-05
; 19074856; -0.0001
; 19079862; 9E-05
; 19084865; -5E-05
; 19089859; 0.00014000000000000002
; 19094861; 6.0000000000000008E-05
; 19099866; -9E-05
; 19104872; 0.00018
; 19109859; -8E-05
; 19114860; 1E-05
; 19119864; 0.00014000000000000002
; 19124869; 2E-05
; 19129861; -2E-05
; 19134857; 0.0001
; 19139863; -0.0001
; 19144874; 0
; 19149860; 2E-05
; 19154864; 0
; 19159863; 1E-05
; 19164897; 3.0000000000000004E-05
; 19169860; 6.0000000000000008E-05
; 19174863; -5E-05
; 19179863; 1E-05
; 19184867; 4E-05
; 19189873; -6.0000000000000008E-05
; 19194860; 4E-05
; 19199860; 0.0001
; 19204871; -0.00024000000000000003
; 19209861; 9E-05
; 19214863; -4E-05
; 19219862; 4E-05
; 19224867; -3.0000000000000004E-05
; 19229860; 0.00013000000000000002
; 19234864; -3.0000000000000004E-05
; 19239861; -2E-05
; 19244868; 0.00013000000000000002
; 19249863; 4E-05
; 19254862; 0.00022
; 19259862; 2E-05
; 19264873; -5E-05
; 19269860; 0.00021
; 19274861; 2E-05
; 19279862; 3.0000000000000004E-05
; 19284866; -2E-05
; 19289858; 0.00011
; 19294862; 0.00019
; 19299863; -0.0002
; 19304866; -0.00013000000000000002
; 19309859; -3.0000000000000004E-05
; 19314861; 7.0000000000000007E-05
; 19319863; 2E-05
; 19324864; 5E-05
; 19329860; -4E-05
; 19334863; 2E-05
; 19339861; -0.00030000000000000003
; 19344866; 0.00016
; 19349858; 8E-05
; 19354860; 4E-05
; 19359865; -4E-05
; 19364871; 0.00014000000000000002
; 19369865; 0
; 19374865; 8E-05
; 19379859; -7.0000000000000007E-05
; 19384870; -0.0001
; 19389860; -5E-05
; 19394862; 1E-05
; 19399869; 0
; 19404865; -3.0000000000000004E-05
; 19409859; 0
; 19414858; 0.00015000000000000001
; 19419865; 0
; 19424867; 3.0000000000000004E-05
; 19429860; 4E-05
; 19434864; 1E-05
; 19439861; -0.0001
; 19444865; 5E-05
; 19449860; 5E-05
; 19454861; 4E-05
; 19459860; -9E-05
; 19464869; 0
; 19469858; 0.00015000000000000001
; 19474864; -0.00013000000000000002
; 19479861; 9E-05
; 19484866; 0.00013000000000000002
; 19489859; 6.0000000000000008E-05
; 19494863; 7.0000000000000007E-05
; 19499861; -0.00014000000000000002
; 19504866; -3.0000000000000004E-05
; 19509862; -5E-05
; 19514863; 4E-05
; 19519864; 0.00011
; 19524868; -0.00017
; 19529858; 1E-05
; 19534862; 0.00013000000000000002
; 19539868; 3.0000000000000004E-05
; 19544867; -0.00021
; 19549860; -0.00013000000000000002
; 19554859; -0.00014000000000000002
; 19559861; 2E-05
; 19564874; 4E-05
; 19569862; 4E-05
; 19574864; 5E-05
; 19579881; -6.0000000000000008E-05
; 19584869; 0.00014000000000000002
; 19589859; 0
; 19594859; 7.0000000000000007E-05
; 19599857; -0.00021
; 19604912; -0.00018
; 19609861; -3.0000000000000004E-05
; 19614862; -2E-05
; 19619862; -8E-05
; 19624867; 0.00021
; 19629861; -9E-05
; 19634864; 4E-05
; 19639861; 0.00016
; 19644866; -0.00016
; 19649860; -7.0000000000000007E-05
; 19654862; -0.00013000000000000002
; 19659863; 8E-05
; 19664867; -0.00011
; 19669858; 0.00011
; 19674861; -1E-05
; 19679860; -5E-05
; 19684868; -1E-05
; 19689859; -2E-05
; 19694861; -1E-05
; 19699862; 2E-05
; 19704894; -5E-05
; 19709862; 0
; 19714862; -0.0001
; 19719863; 7.0000000000000007E-05
; 19724904; -0.00014000000000000002
; 19729861; -6.0000000000000008E-05
; 19734863; 0
; 19739862; 0
; 19744868; -2E-05
; 19749862; 1E-05
; 19754863; -0.0002
; 19759879; -2E-05
; 19764871; 8E-05
; 19769860; 9E-05
; 19774863; -3.0000000000000004E-05
; 19779859; 0.00011
; 19784867; -3.0000000000000004E-05
; 19789860; 5E-05
; 19794862; -0.00014000000000000002
; 19799862; -0.00017
; 19804872; -3.0000000000000004E-05
; 19809859; -9E-05
; 19814863; 0.00016
; 19819863; -8E-05
; 19824880; 6.0000000000000008E-05
; 19829860; -1E-05
; 19834907; -9E-05
; 19839863; -0.00015000000000000001
; 19844860; 0.00016
; 19849867; -0.00022
; 19854862; -5E-05
