17.Variable; SEW_GVL_Internal.Drive6_AxisDriver.DeviceAdapter16PD.stInverterOUT.lrActualTorque
17.Address.AddrFlags; 0x00000000
17.Class; 15
17.Size; 8
17.GraphColor; 4294902015
17.GraphType; 1
17.MinWarningColor; 4278190080
17.MaxWarningColor; 4294901760
17.CriticalLowerLimit; 0
17.CriticalUpperLimit; 0
17.ActivateMinWarning; 0
17.ActivateMaxWarning; 0
17.YAxis; 0
17.Data; 
; 18504866; 0
; 18509861; 0
; 18514857; 0
; 18519857; 0
; 18524866; 0
; 18529860; 0
; 18534857; 0
; 18539867; 0
; 18544878; 0
; 18549861; 0
; 18554857; 0
; 18559861; 0
; 18564874; 0
; 18569863; 0
; 18574860; 0
; 18579861; 0
; 18584877; 0
; 18589862; 0
; 18594858; 0
; 18599855; 0
; 18604872; 0
; 18609860; 0
; 18614863; 0
; 18619864; 0
; 18624863; 0
; 18629859; 0
; 18634861; 0
; 18639862; 0
; 18644865; 0
; 18649862; 0
; 18654861; 0
; 18659861; 0
; 18664871; 0
; 18669860; 0
; 18674863; 0
; 18679863; 0
; 18684866; 0
; 18689858; 0
; 18694855; 0
; 18699857; 0
; 18704868; 0
; 18709911; 0
; 18714863; 0
; 18719862; 0
; 18724866; 0
; 18729864; 0
; 18734862; 0
; 18739889; 0
; 18744879; 0
; 18749861; 0
; 18754862; 0
; 18759864; 0
; 18764878; 0
; 18769860; 0
; 18774864; 0
; 18779862; 0
; 18784868; 0
; 18789859; 0
; 18794864; 0
; 18799860; 0
; 18804873; 0
; 18809859; 0
; 18814862; 0
; 18819860; 0
; 18824863; 0
; 18829858; 0
; 18834862; 0
; 18839861; 0
; 18844866; 0
; 18849859; 0
; 18854860; 0
; 18859863; 0
; 18864867; 0
; 18869858; 0
; 18874862; 0
; 18879863; 0
; 18884866; 0
; 18889857; 0
; 18894863; 0
; 18899857; 0
; 18904865; 0
; 18909873; 0
; 18914863; 0
; 18919862; 0
; 18924867; 0
; 18929860; 0
; 18934865; 0
; 18939863; 0
; 18944868; 0
; 18949861; 0
; 18954858; 0
; 18959867; 0
; 18964880; 0
; 18969863; 0
; 18974859; 0
; 18979859; 0
; 18984867; 0
; 18989863; 0
; 18994858; 0
; 18999861; 0
; 19004872; 0
; 19009862; 0
; 19014863; 0
; 19019863; 0
; 19024862; 0
; 19029859; 0
; 19034862; 0
; 19039862; 0
; 19044863; 0
; 19049860; 0
; 19054862; 0
; 19059863; 0
; 19064867; 0
; 19069860; 0
; 19074856; 0
; 19079862; 0
; 19084865; 0
; 19089859; 0
; 19094861; 0
; 19099866; 0
; 19104872; 0
; 19109859; 0
; 19114860; 0
; 19119864; 0
; 19124869; 0
; 19129861; 0
; 19134857; 0
; 19139863; 0
; 19144874; 0
; 19149860; 0
; 19154864; 0
; 19159863; 0
; 19164897; 0
; 19169860; 0
; 19174863; 0
; 19179863; 0
; 19184867; 0
; 19189873; 0
; 19194860; 0
; 19199860; 0
; 19204871; 0
; 19209861; 0
; 19214863; 0
; 19219862; 0
; 19224867; 0
; 19229860; 0
; 19234864; 0
; 19239861; 0
; 19244868; 0
; 19249863; 0
; 19254862; 0
; 19259862; 0
; 19264873; 0
; 19269860; 0
; 19274861; 0
; 19279862; 0
; 19284866; 0
; 19289858; 0
; 19294862; 0
; 19299863; 0
; 19304866; 0
; 19309859; 0
; 19314861; 0
; 19319863; 0
; 19324864; 0
; 19329860; 0
; 19334863; 0
; 19339861; 0
; 19344866; 0
; 19349858; 0
; 19354860; 0
; 19359865; 0
; 19364871; 0
; 19369865; 0
; 19374865; 0
; 19379859; 0
; 19384870; 0
; 19389860; 0
; 19394862; 0
; 19399869; 0
; 19404865; 0
; 19409859; 0
; 19414858; 0
; 19419865; 0
; 19424867; 0
; 19429860; 0
; 19434864; 0
; 19439861; 0
; 19444865; 0
; 19449860; 0
; 19454861; 0
; 19459860; 0
; 19464869; 0
; 19469858; 0
; 19474864; 0
; 19479861; 0
; 19484866; 0
; 19489859; 0
; 19494863; 0
; 19499861; 0
; 19504866; 0
; 19509862; 0
; 19514863; 0
; 19519864; 0
; 19524868; 0
; 19529858; 0
; 19534862; 0
; 19539868; 0
; 19544867; 0
; 19549860; 0
; 19554859; 0
; 19559861; 0
; 19564874; 0
; 19569862; 0
; 19574864; 0
; 19579881; 0
; 19584869; 0
; 19589859; 0
; 19594859; 0
; 19599857; 0
; 19604912; 0
; 19609861; 0
; 19614862; 0
; 19619862; 0
; 19624867; 0
; 19629861; 0
; 19634864; 0
; 19639861; 0
; 19644866; 0
; 19649860; 0
; 19654862; 0
; 19659863; 0
; 19664867; 0
; 19669858; 0
; 19674861; 0
; 19679860; 0
; 19684868; 0
; 19689859; 0
; 19694861; 0
; 19699862; 0
; 19704894; 0
; 19709862; 0
; 19714862; 0
; 19719863; 0
; 19724904; 0
; 19729861; 0
; 19734863; 0
; 19739862; 0
; 19744868; 0
; 19749862; 0
; 19754863; 0
; 19759879; 0
; 19764871; 0
