0.Variable; SEW_GVL_Internal.Drive1_AxisDriver.DeviceAdapter16PD.stBasicOUT.lrActualVelocity
0.Address.AddrFlags; 0x00000000
0.Class; 15
0.Size; 8
0.GraphColor; 4278222848
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 18504866; -2E-05
; 18509861; 1E-05
; 18514857; 2E-05
; 18519857; -1E-05
; 18524866; 0
; 18529860; -9E-05
; 18534857; 0
; 18539867; -8E-05
; 18544878; -2E-05
; 18549861; 0.00011
; 18554857; 0.0002
; 18559861; 1E-05
; 18564874; -3.0000000000000004E-05
; 18569863; 6.0000000000000008E-05
; 18574860; -4E-05
; 18579861; 1E-05
; 18584877; 1E-05
; 18589862; 0
; 18594858; -3.0000000000000004E-05
; 18599855; 0.00014000000000000002
; 18604872; -0.00011
; 18609860; 9E-05
; 18614863; -0.00017
; 18619864; 7.0000000000000007E-05
; 18624863; 9E-05
; 18629859; 4E-05
; 18634861; -9E-05
; 18639862; -2E-05
; 18644865; 4E-05
; 18649862; -0.00011
; 18654861; 0.00018
; 18659861; 5E-05
; 18664871; 9E-05
; 18669860; 5E-05
; 18674863; 3.0000000000000004E-05
; 18679863; -2E-05
; 18684866; 1E-05
; 18689858; 2E-05
; 18694855; 7.0000000000000007E-05
; 18699857; -5E-05
; 18704868; 8E-05
; 18709911; 0
; 18714863; -3.0000000000000004E-05
; 18719862; -0.00016
; 18724866; 5E-05
; 18729864; 5E-05
; 18734862; 5E-05
; 18739889; -0.00017
; 18744879; 1E-05
; 18749861; 0
; 18754862; -0.0001
; 18759864; 3.0000000000000004E-05
; 18764878; -2E-05
; 18769860; -4E-05
; 18774864; -0.00014000000000000002
; 18779862; -9E-05
; 18784868; 2E-05
; 18789859; -1E-05
; 18794864; 9E-05
; 18799860; -0.00015000000000000001
; 18804873; -5E-05
; 18809859; 2E-05
; 18814862; 0
; 18819860; -0.00017
; 18824863; 6.0000000000000008E-05
; 18829858; -1E-05
; 18834862; 8E-05
; 18839861; 0
; 18844866; 0
; 18849859; -6.0000000000000008E-05
; 18854860; -1E-05
; 18859863; -0.0001
; 18864867; -0.00014000000000000002
; 18869858; 5E-05
; 18874862; -3.0000000000000004E-05
; 18879863; 9E-05
; 18884866; -8E-05
; 18889857; 3.0000000000000004E-05
; 18894863; 8E-05
; 18899857; -8E-05
; 18904865; -0.0001
; 18909873; 3.0000000000000004E-05
; 18914863; -2E-05
; 18919862; -0.00013000000000000002
; 18924867; 7.0000000000000007E-05
; 18929860; -9E-05
; 18934865; 3.0000000000000004E-05
; 18939863; -2E-05
; 18944868; -9E-05
; 18949861; -3.0000000000000004E-05
; 18954858; -9E-05
; 18959867; -3.0000000000000004E-05
; 18964880; 1E-05
; 18969863; 4E-05
; 18974859; 3.0000000000000004E-05
; 18979859; 0.00013000000000000002
; 18984867; -0.0001
; 18989863; 2E-05
; 18994858; 9E-05
; 18999861; 6.0000000000000008E-05
; 19004872; -0.0002
; 19009862; 0.00013000000000000002
; 19014863; -6.0000000000000008E-05
; 19019863; 2E-05
; 19024862; 3.0000000000000004E-05
; 19029859; -7.0000000000000007E-05
; 19034862; -7.0000000000000007E-05
; 19039862; 6.0000000000000008E-05
; 19044863; -0.0001
; 19049860; -3.0000000000000004E-05
; 19054862; 1E-05
; 19059863; 3.0000000000000004E-05
; 19064867; 1E-05
; 19069860; -5E-05
; 19074856; -5E-05
; 19079862; -0.00018
; 19084865; -3.0000000000000004E-05
; 19089859; -1E-05
; 19094861; 9E-05
; 19099866; -1E-05
; 19104872; -5E-05
; 19109859; 0
; 19114860; 4E-05
; 19119864; -3.0000000000000004E-05
; 19124869; -0.00015000000000000001
; 19129861; 0
; 19134857; -9E-05
; 19139863; -2E-05
; 19144874; -0.0001
; 19149860; 5E-05
; 19154864; -1E-05
; 19159863; -0.00015000000000000001
; 19164897; 0
; 19169860; 0.0002
; 19174863; -0.00014000000000000002
; 19179863; 3.0000000000000004E-05
; 19184867; -3.0000000000000004E-05
; 19189873; -0.00014000000000000002
; 19194860; -8E-05
; 19199860; -4E-05
; 19204871; -4E-05
; 19209861; 3.0000000000000004E-05
; 19214863; 2E-05
; 19219862; -4E-05
